anio,sexo,x,n,nmx,nax,nqx,npx,lx,ndx,nLx,Tx,ex
2021,Hombres,0,1,0.00973235,0.0711,0.00964516,0.99035484,100000,964.52,99104.08,6902364.38,69.0236
2021,Hombres,1,4,0.00055536,1.6236,0.0022185,0.9977815,99035.48,219.71,395619.82,6803260.3,68.6952
2021,Hombres,5,5,0.00024143,2.5,0.0012064,0.9987936,98815.77,119.21,493780.84,6407640.48,64.8443
2021,Hombres,10,5,0.00041431,2.5,0.00206939,0.99793061,98696.56,204.24,492972.21,5913859.64,59.9196
2021,Hombres,15,5,0.00192815,2.5,0.00959452,0.99040548,98492.32,944.99,490099.14,5420887.43,55.0387
2021,Hombres,20,5,0.00312181,2.5,0.01548818,0.98451182,97547.33,1510.83,483959.6,4930788.29,50.5476
2021,Hombres,25,5,0.00391984,2.5,0.01940898,0.98059102,96036.5,1863.97,475522.59,4446828.7,46.3035
2021,Hombres,30,5,0.00451845,2.5,0.02233992,0.97766008,94172.53,2103.81,465603.15,3971306.1,42.1705
2021,Hombres,35,5,0.00538903,2.5,0.02658694,0.97341306,92068.73,2447.83,454224.07,3505702.95,38.077
2021,Hombres,40,5,0.00653993,2.5,0.03217364,0.96782636,89620.9,2883.43,440895.93,3051478.89,34.0487
2021,Hombres,45,5,0.00851498,2.5,0.04168747,0.95831253,86737.47,3615.87,424647.69,2610582.96,30.0975
2021,Hombres,50,5,0.01062777,2.5,0.05176351,0.94823649,83121.61,4302.67,404851.36,2185935.26,26.298
2021,Hombres,55,5,0.01513893,2.5,0.07293429,0.92706571,78818.94,5748.6,379723.19,1781083.9,22.5972
2021,Hombres,60,5,0.0203883,2.5,0.09699745,0.90300255,73070.34,7087.64,347632.59,1401360.71,19.1782
2021,Hombres,65,5,0.02908462,2.5,0.1355659,0.8644341,65982.7,8945,307550.99,1053728.12,15.9698
2021,Hombres,70,5,0.04062113,2.5,0.18438123,0.81561877,57037.7,10516.68,258896.78,746177.12,13.0822
2021,Hombres,75,5,0.05886664,2.5,0.25657406,0.74342594,46521.02,11936.09,202764.86,487280.35,10.4744
2021,Hombres,80,5,0.08728666,2.5,0.35825589,0.64174411,34584.93,12390.25,141949.01,284515.48,8.2266
2021,Hombres,85,,0.15567948,6.4235,1,0,22194.67,22194.67,142566.47,142566.47,6.4235
