anio,sexo,edad,n,mx,ax,qx,px,lx,dx,Lx,Tx,ex
2010,Hombres,0,1,0.0135895647929661,0.0814743919043211,0.0134220261863528,0.986577973813647,100000,1342.20261863528,98767.1525235304,7350726.01399722,73.5072601399722
2010,Hombres,1,4,0.000706302016179493,1.61273178554301,0.00282045240866154,0.997179547591338,98657.7973813647,278.259622257513,393966.909173877,7251958.86147369,73.5061906302349
2010,Hombres,5,5,0.000312885911826921,2.5,0.00156320679567551,0.998436793204325,98379.5377591072,153.787561980451,491513.219890585,6857991.95229981,69.7095362360041
2010,Hombres,10,5,0.000391030698678931,2.5,0.00195324404743326,0.998046755952567,98225.7501971268,191.858861877204,490649.103830941,6366478.73240923,64.81476313118
2010,Hombres,15,5,0.00143832480311317,2.5,0.00716585694113089,0.992834143058869,98033.8913352496,702.49684069077,488413.214574521,5875829.62857828,59.9367172775436
2010,Hombres,20,5,0.00230376824445133,2.5,0.0114528792733132,0.988547120726687,97331.3944945588,1114.7247106494,483870.16069617,5387416.41400376,55.3512712109035
2010,Hombres,25,5,0.00286321372031998,2.5,0.0142143219971815,0.985785678002819,96216.6697839094,1367.65472580497,477664.212105035,4903546.25330759,50.96358317452
2010,Hombres,30,5,0.00341184381938237,2.5,0.016914941252493,0.983085058747507,94849.0150581044,1604.36551756466,470234.16149661,4425882.04120256,46.6623932625053
2010,Hombres,35,5,0.00355747648487139,2.5,0.0176305814768111,0.982369418523189,93244.6495405397,1643.95739100118,462113.354225196,3955647.87970595,42.4222504904816
2010,Hombres,40,5,0.00435393723917406,2.5,0.0215352780729756,0.978464721927024,91600.6921495386,1972.64637711734,453071.8448049,3493534.52548075,38.1387350193549
2010,Hombres,45,5,0.00564379825257352,2.5,0.02782637514433,0.97217362485567,89628.0457724212,2494.02362511658,441905.169799315,3040462.68067585,33.9231169716233
2010,Hombres,50,5,0.00718183243936758,2.5,0.0352757999851921,0.964724200014808,87134.0221473047,3073.72233717362,427985.804893589,2598557.51087654,29.8225359835168
2010,Hombres,55,5,0.0100211501440899,2.5,0.0488811376709143,0.951118862329086,84060.299810131,4108.96308767734,410029.091331462,2170571.70598295,25.8216031930135
2010,Hombres,60,5,0.0136252097101392,2.5,0.0658819114032603,0.93411808859674,79951.3367224537,5267.34688252092,386588.316405966,1760542.61465149,22.0201773581736
2010,Hombres,65,5,0.0209163383382605,2.5,0.0993847776060979,0.900615222393902,74683.9898399328,7422.45172097779,354863.819897219,1373954.29824552,18.3969054303374
2010,Hombres,70,5,0.0276747765899886,2.5,0.129419727815842,0.870580272184158,67261.538118955,8704.96995583,314545.2657052,1019090.4783483,15.1511622667028
2010,Hombres,75,5,0.046975048331177,2.5,0.210190920081838,0.789809079918162,58556.568163125,12308.0589390421,262012.69346802,704545.212643103,12.0318733618474
2010,Hombres,80,5,0.0687984006744303,2.5,0.293509536617252,0.706490463382749,46248.5092240829,13574.3785115992,197306.599841416,442532.519175083,9.56857910880821
2010,Hombres,85,,0.133240934731804,7.50520102559224,1,0,32674.1307124836,32674.1307124836,245225.919333667,245225.919333667,7.50520102559224
2010,Mujeres,0,1,0.0110354255071826,0.0838991914201114,0.0109249787545999,0.9890750212454,100000,1092.49787545999,98999.1618129193,7931793.78188106,79.3179378188106
2010,Mujeres,1,4,0.000593432290664003,1.5052482240801,0.0023702201317198,0.99762977986828,98907.50212454,234.432552713704,395045.157470944,7832794.62006814,79.1931294575151
2010,Mujeres,5,5,0.000245481994618085,2.5,0.00122665716746997,0.99877334283253,98673.0695718263,121.038028026543,493062.752789065,7437749.4625972,75.3777043206616
2010,Mujeres,10,5,0.000287958519599066,2.5,0.00143875684226942,0.998561243157731,98552.0315437998,141.792409703194,492405.676694741,6944686.70980813,70.4672100718866
2010,Mujeres,15,5,0.000512275293453712,2.5,0.00255810033826489,0.997441899661735,98410.2391340966,251.743266017661,491421.837505439,6452281.03311339,65.5651392567122
2010,Mujeres,20,5,0.00061208028432555,2.5,0.00305572554822181,0.996944274451778,98158.4958680789,299.945423599114,490042.615781397,5960859.19560795,60.7268799597246
2010,Mujeres,25,5,0.000673115048498564,2.5,0.0033599212086745,0.996640078791325,97858.5504444798,328.797019088551,488470.759674678,5470816.57982656,55.9053506819563
2010,Mujeres,30,5,0.000809517443332896,2.5,0.00403941227991098,0.995960587720089,97529.7534253913,393.962883643215,486663.859917848,4982345.82015188,51.0853933816545
2010,Mujeres,35,5,0.00110981782091394,2.5,0.00553373550885978,0.99446626449114,97135.790541748,537.523773302037,484335.143275485,4495681.96023403,46.2824457922318
2010,Mujeres,40,5,0.00155632192336158,2.5,0.00775145023695385,0.992248549763046,96598.266768446,748.776657831601,481119.392197651,4011346.81695855,41.5260744436966
2010,Mujeres,45,5,0.00258016499275561,2.5,0.0128181426563926,0.987181857343607,95849.4901106144,1228.61243778035,476175.919458621,3530227.4247609,36.8309463168439
2010,Mujeres,50,5,0.00383101310540563,2.5,0.0189733476681034,0.981026652331897,94620.877672834,1795.27480874776,468616.201342301,3054051.50530227,32.2767192655105
2010,Mujeres,55,5,0.00697656437180764,2.5,0.0342848457752174,0.965715154224783,92825.6028640863,3182.51147818678,456171.735624964,2585435.30395997,27.8526098855025
2010,Mujeres,60,5,0.010320802246588,2.5,0.0503060151475602,0.94969398485244,89643.0913858995,4509.58671313319,436941.490146665,2129263.56833501,23.7526789339388
2010,Mujeres,65,5,0.0152215442524365,2.5,0.0733176997346865,0.926682300265314,85133.5046727663,6241.79273295941,410063.041531433,1692322.07818834,19.8784495562968
2010,Mujeres,70,5,0.0214096414670823,2.5,0.101609642306937,0.898390357693064,78891.7119398069,8016.15863118566,374418.16312107,1282259.03665691,16.253406157991
2010,Mujeres,75,5,0.0402107201101544,2.5,0.182688509267073,0.817311490732927,70875.5533086212,12948.149177431,322007.393599529,907840.873535841,12.8089423102311
2010,Mujeres,80,5,0.0606349854623873,2.5,0.263266957031158,0.736733042968842,57927.4041311903,15250.3714143326,251511.09212012,585833.479936313,10.1132355009307
2010,Mujeres,85,,0.12765233281452,7.83377771445046,1,0,42677.0327168577,42677.0327168577,334322.387816193,334322.387816193,7.83377771445046
2019,Hombres,0,1,0.0108168882373969,0.0740325280291732,0.0107096197578518,0.989290380242148,100000,1070.96197578518,99008.3240467053,7328084.44300862,73.2808444300862
2019,Hombres,1,4,0.00057449058378157,1.62053964272349,0.00229482536033224,0.997705174639668,98929.0380242148,227.024865331241,395175.955429688,7229076.11896192,73.0733489715372
2019,Hombres,5,5,0.000230438977703755,2.5,0.001151531494168,0.998848468505832,98702.0131588836,113.658476690239,493225.919602692,6833900.16353223,69.2376978424087
2019,Hombres,10,5,0.000311360395365223,2.5,0.00155559110317384,0.998444408896826,98588.3546821933,153.363167420167,492558.365492416,6340674.24392954,64.314637001187
2019,Hombres,15,5,0.00167346707419997,2.5,0.00833247506433299,0.991667524935667,98434.9915147732,820.207112254677,490124.439793229,5848115.87843712,59.4109451165995
2019,Hombres,20,5,0.00305081809402236,2.5,0.0151386274735742,0.984861372526426,97614.7844025185,1477.75385698299,484379.537370135,5357991.43864389,54.8891386836445
2019,Hombres,25,5,0.00375789892440444,2.5,0.0186146150176397,0.98138538498236,96137.0305455355,1789.55381254421,476211.268196317,4873611.90127376,50.6944293329859
2019,Hombres,30,5,0.0040637135558906,2.5,0.0201142216910725,0.979885778308928,94347.4767329913,1897.72606300069,466993.068507455,4397400.63307744,46.6085663904116
2019,Hombres,35,5,0.00444801343060858,2.5,0.0219954767134577,0.978004523286542,92449.7506699906,2033.47633802674,457165.062504886,3930407.56456999,42.5139877185824
2019,Hombres,40,5,0.0050814048021155,2.5,0.0250883143085662,0.974911685691434,90416.2743319639,2268.39190904986,446410.391887195,3473242.5020651,38.413908643405
2019,Hombres,45,5,0.00619219690557233,2.5,0.0304889998022874,0.969511000197713,88147.882422914,2687.54076976427,434020.560190159,3026832.11017791,34.3381148472273
2019,Hombres,50,5,0.00727417426637319,2.5,0.0357212645730667,0.964278735426933,85460.3416531497,3052.75147469683,419669.829579007,2592811.54998775,30.3393539018479
2019,Hombres,55,5,0.0103671253693239,2.5,0.0505261007932525,0.949473899206748,82407.5901784529,4163.73420748556,401628.615373551,2173141.72040874,26.3706500299647
2019,Hombres,60,5,0.0137916502869855,2.5,0.0666598771503499,0.93334012284965,78243.8559709673,5215.72582679436,378179.965287851,1771513.10503519,22.6409228309571
2019,Hombres,65,5,0.0181211675323211,2.5,0.0866790248351651,0.913320975164835,73028.130144173,6330.00710643244,349315.632954784,1393333.13974734,19.0794031970503
2019,Hombres,70,5,0.0271159240642273,2.5,0.126972199051748,0.873027800948252,66698.1230377405,8468.807354726,312318.596801888,1044017.50679255,15.6528768613445
2019,Hombres,75,5,0.0407787834779213,2.5,0.185030609486964,0.814969390513036,58229.3156830145,10774.205770837,264211.06398798,731698.909990667,12.5658167438176
2019,Hombres,80,5,0.0655305427892144,2.5,0.281530583993866,0.718469416006134,47455.1099121775,13360.0648070684,203875.387543216,467487.846002687,9.85115927173787
2019,Hombres,85,,0.129337760834058,7.73169408184677,1,0,34095.0451051091,34095.0451051091,263612.458459471,263612.458459471,7.73169408184677
2019,Mujeres,0,1,0.00904446868601929,0.078324512320854,0.00896969671043062,0.991030303289569,100000,896.969671043062,99173.285041008,8048772.72328627,80.4877272328627
2019,Mujeres,1,4,0.00045140277405887,1.50827049653462,0.00180358247426484,0.998196417525735,99103.0303289569,178.740488647844,395966.7483668,7949599.43824526,80.2155031168857
2019,Mujeres,5,5,0.000212996828444161,2.5,0.00106441734842242,0.998935582651578,98924.2898403091,105.296730286393,494358.20737583,7553632.68987846,76.3577145923625
2019,Mujeres,10,5,0.000224183577186425,2.5,0.00112029000937765,0.998879709990622,98818.9931100227,110.705930717918,493818.200723319,7059274.48250263,71.4364137938848
2019,Mujeres,15,5,0.00052445974468841,2.5,0.00261886500026852,0.997381134999731,98708.2871793048,258.503678530335,492895.176700198,6565456.28177931,66.5137291852009
2019,Mujeres,20,5,0.000613401791073311,2.5,0.00306231288484558,0.996937687115154,98449.7835007745,301.484040524679,491495.207402561,6072561.10507912,61.6818126881036
2019,Mujeres,25,5,0.000717880753375768,2.5,0.00358297339777354,0.996417026602226,98148.2994602498,351.662746002786,489862.340436242,5581065.89767656,56.8636026132771
2019,Mujeres,30,5,0.000767590166184831,2.5,0.00383060000369061,0.996169399996309,97796.636714247,374.619796958523,488046.634078839,5091203.55724031,52.0590863683417
2019,Mujeres,35,5,0.00114677800878177,2.5,0.00571749829064645,0.994282501709353,97422.0169172884,557.010215195926,485717.559048452,4603156.92316148,47.2496574061854
2019,Mujeres,40,5,0.00153794107954655,2.5,0.00766025285387352,0.992339747146126,96865.0067020925,742.010444030182,482470.007400387,4117439.36411302,42.5069847646444
2019,Mujeres,45,5,0.00242776224455791,2.5,0.0120655803218792,0.987934419678121,96122.9962580623,1159.77973213135,477715.531959983,3634969.35671264,37.8158140946189
2019,Mujeres,50,5,0.00373721104979428,2.5,0.0185130869660333,0.981486913033967,94963.216525931,1758.06228611881,470420.926914358,3157253.82475265,33.24712388918
2019,Mujeres,55,5,0.00597504326076449,2.5,0.0294355200397213,0.970564479960279,93205.1542398122,2743.54218543131,459166.915735483,2686832.89783829,28.8270849370112
2019,Mujeres,60,5,0.0087627717842899,2.5,0.0428746079103023,0.957125392089698,90461.6120543809,3878.50614776545,442611.794902491,2227665.98210281,24.6255392924421
2019,Mujeres,65,5,0.0136332662232515,2.5,0.0659195830535217,0.934080416946478,86583.1059066154,5707.522240843,418646.72393097,1785054.18720032,20.6166568929232
2019,Mujeres,70,5,0.020580146117112,2.5,0.0978655141338099,0.90213448586619,80875.5836657724,7914.93057632278,384590.591888055,1366407.46326935,16.8951790062646
2019,Mujeres,75,5,0.0332893847194891,2.5,0.15365889815667,0.84634110184333,72960.6530894497,11211.0535625159,336775.631540959,981816.871381297,13.456799381683
