anio,sexo,x,n,nmx,nax,nqx,npx,lx,ndx,nLx,Tx,ex
2010,Hombres,0,1,0.01358956,0.0815,0.01342203,0.98657797,100000,1342.2,98767.15,7350726.01,73.5073
2010,Hombres,1,4,0.0007063,1.6127,0.00282045,0.99717955,98657.8,278.26,393966.91,7251958.86,73.5062
2010,Hombres,5,5,0.00031289,2.5,0.00156321,0.99843679,98379.54,153.79,491513.22,6857991.95,69.7095
2010,Hombres,10,5,0.00039103,2.5,0.00195324,0.99804676,98225.75,191.86,490649.1,6366478.73,64.8148
2010,Hombres,15,5,0.00143832,2.5,0.00716586,0.99283414,98033.89,702.5,488413.21,5875829.63,59.9367
2010,Hombres,20,5,0.00230377,2.5,0.01145288,0.98854712,97331.39,1114.72,483870.16,5387416.41,55.3513
2010,Hombres,25,5,0.00286321,2.5,0.01421432,0.98578568,96216.67,1367.65,477664.21,4903546.25,50.9636
2010,Hombres,30,5,0.00341184,2.5,0.01691494,0.98308506,94849.02,1604.37,470234.16,4425882.04,46.6624
2010,Hombres,35,5,0.00355748,2.5,0.01763058,0.98236942,93244.65,1643.96,462113.35,3955647.88,42.4223
2010,Hombres,40,5,0.00435394,2.5,0.02153528,0.97846472,91600.69,1972.65,453071.84,3493534.53,38.1387
2010,Hombres,45,5,0.0056438,2.5,0.02782638,0.97217362,89628.05,2494.02,441905.17,3040462.68,33.9231
2010,Hombres,50,5,0.00718183,2.5,0.0352758,0.9647242,87134.02,3073.72,427985.8,2598557.51,29.8225
2010,Hombres,55,5,0.01002115,2.5,0.04888114,0.95111886,84060.3,4108.96,410029.09,2170571.71,25.8216
2010,Hombres,60,5,0.01362521,2.5,0.06588191,0.93411809,79951.34,5267.35,386588.32,1760542.61,22.0202
2010,Hombres,65,5,0.02091634,2.5,0.09938478,0.90061522,74683.99,7422.45,354863.82,1373954.3,18.3969
2010,Hombres,70,5,0.02767478,2.5,0.12941973,0.87058027,67261.54,8704.97,314545.27,1019090.48,15.1512
2010,Hombres,75,5,0.04697505,2.5,0.21019092,0.78980908,58556.57,12308.06,262012.69,704545.21,12.0319
2010,Hombres,80,5,0.0687984,2.5,0.29350954,0.70649046,46248.51,13574.38,197306.6,442532.52,9.5686
2010,Hombres,85,,0.13324093,7.5052,1,0,32674.13,32674.13,245225.92,245225.92,7.5052
